network,variant,R,rho,eta,g,decay,spectral_abscissa,stable
network_075,Constant bias,3.2,4.30616497819906,0.7431206226888027,0.5,1.0,-0.327161722156398,True
network_075,Full DMWA,3.2,4.305633669525493,0.7432123226481224,0.5,1.0,-0.3272447391366424,True
network_076,Coverage,4.919540229885057,5.791604267735424,0.8494261697560092,0.5,1.0,-0.4113673232558628,True
network_076,Constant bias,3.4655172413793105,4.476716443862377,0.7741203368219959,0.5,1.0,-0.3541055877014502,True
network_076,Full DMWA,3.46551724137931,4.473593886330486,0.774660670913501,0.5,1.0,-0.35455610595231646,True
network_077,Coverage,7.109523809523809,8.127463237531444,0.874753118130767,0.5,1.0,-0.42841015409189265,True
network_077,Constant bias,5.447619047619047,6.330390610207326,0.8605502224199452,0.5,1.0,-0.4189763863009017,True
network_077,Full DMWA,5.447619047619048,6.32787676821793,0.8608920886354773,0.5,1.0,-0.4192071148051745,True
network_078,Coverage,4.711538461538462,5.768792528794158,0.8167287067478066,0.5,1.0,-0.38780160918919054,True
network_078,Constant bias,3.5897435897435894,4.556956758833723,0.7877501981524889,0.5,1.0,-0.3652810228767328,True
network_078,Full DMWA,3.5897435897435894,4.554918817118445,0.7881026498765462,0.5,1.0,-0.36556487904421825,True
network_079,Coverage,3.0396825396825395,3.6850436394387227,0.8248701608715604,0.5,1.0,-0.3938439966458505,True
network_079,Constant bias,1.9761904761904763,2.80021083224319,0.7057291734734815,0.5,1.0,-0.29151292196256867,True
network_079,Full DMWA,1.9761904761904763,2.7984309283503923,0.7061780429061342,0.5,1.0,-0.29196325909206955,True
network_080,Coverage,6.222222222222223,7.527434041307346,0.826606010504685,0.5,1.0,-0.395116907394945,True
network_080,Constant bias,4.694444444444444,5.8724716986194965,0.7993983939587169,0.5,1.0,-0.3745296415671555,True
network_080,Full DMWA,4.694444444444444,5.868002096101703,0.8000072882664969,0.5,1.0,-0.37500569390632943,True
